feature,information_gain
is_html,0.37040736971113053
count_mimeole,0.32853402052540664
count_font,0.24763145628228261
count_table,0.23649325009164943
count_x-ms-has-attach,0.2306314620738773
count_x-ms-tnef-correlator,0.22846873806917675
count_x-bcc,0.22366785295439473
count_x-filename,0.22366785295439473
count_x-cc,0.22350322340113668
count_x-from,0.22316761576567062
count_x-msmail-priority,0.22229663720703857
count_x-to,0.22218552112934345
count_thread,0.21841398528904479
count_binary,0.21180058222940853
count_enron,0.20980773516216963
count_thread-index,0.2097341647204341
count_content-classes,0.20937306465595706
count_content-class,0.20937306465595706
len,0.20824980654926781
count_thread-topic,0.20770233879691913
count_urn,0.20487190912343833
count_x-origin,0.19429866344181013
count_+0300,0.17401474756220814
count_2005,0.17227420241401298
count_receive,0.16534083173706479
count_v6.00.2900.2527,0.15319920421464928
count_iso-8859-7,0.15185663143894021
count_order,0.14836101439718022
count_2004,0.11544346929573063
count_multipart/alternative,0.11484415002141399
count_-original,0.11437517815263525
count_john,0.10723445015151688
non_ascii,0.08916773218078354
count_enter,0.084066625433984632
count_original,0.084000743566796807
count_spaces,0.082868567750259123
count_+0000,0.068313778378246551
count_thank,0.067914589325926464
count_louise,0.064501672264586168
count_david,0.063296582453776298
is_a_request,0.061516189862504247
count_edu,0.055373952545017181
count_g,0.052035779407719397
count_houston,0.050362472274430949
count_hp,0.04959026736014864
count_format,0.04625983196717158
count_express,0.045337078442849912
count_windows,0.043338088532447132
count_mark,0.041953299164069126
count_n,0.04129150976078675
count_mx,0.037625752577122563
count_xp,0.037281862793652247
count_font-family,0.035999915264016025
count_pm,0.030370687070395471
count_cs,0.029555993009338241
count_k,0.029504656383809957
count_call,0.027096567465820974
count_professional,0.025128643135903322
count_software,0.023509761401425446
count_we,0.022827027913626553
count_adobe,0.019609306424285735
count_all,0.019061308241217358
count_think,0.019038049110535863
count_money,0.018827240851935906
count_re,0.01692030667628211
count_hi,0.016900849672892609
count_conference,0.016814848512237451
count_george,0.016664457041461283
count_our,0.016533320721687107
count_de,0.016489476611669756
count_statements,0.015769874430261399
count_spam,0.013580714777040316
count_price,0.013151660382396464
count_email,0.01138636612186153
count_how,0.011138304930879445
count_internet,0.010849798950101368
count_offer,0.010715665186401858
count_promotion,0.010548848966908483
count_blue,0.010467331659613246
count_best,0.010393984470749755
count_report,0.010177691593132716
count_,0.010177547232476353
count_investment,0.009676710378917909
count_click,0.0090503247549295392
count_hello,0.0088730644457353375
count_quality,0.0086329590930684739
count_fast,0.0079283126580660286
count_,0.0078773787491995973
count_////////////////////////////////////////////////////////////////////////////,0.0078737956146686348
count_remove,0.0077730265432684386
count_free,0.0074256599202966941
count_data,0.0072313595471116387
count_business,0.0072163483888204698
count_here,0.0061186359901028988
count_credit,0.0056791696205659879
count_egg,0.0055732226759793516
count_madam,0.0046308600307714502
count_over,0.0045128252131937429
count_wrap,0.0039225469496385343
count_direct,0.0039172191872542516
count_adult,0.0036065582807658677
count_make,0.0033407992160010033
count_bank,0.0033393602809239898
count_take,0.0032096724669103444
count_gun,0.0029812703570563431
count_technology,0.0028551743337785697
count_germ,0.0027047184360130725
count_paper,0.0022415185986277186
count_actor,0.0021922727055841877
count_people,0.0019918717074253189
count_revenue,0.0019320489377761144
count_dear,0.0019284573987545467
count_regards,0.0017703116848226822
count_fault,0.0016701808665600159
count_chamber,0.0012254788033203251
count_address,0.00080612594584265971
count_republic,0.00051491185417549797
count_tape,0.00035807285144639697
count_indigo,0.00028925200233679237
count_upgrade,0.00020715265039568406
count_monkey,0.00012378971364076895
count_punch,0.00011914834315314715
count_gicagicagicagicagicagicagicagicagicagicagicagicagicagicagicagicagicagicagica,8.8894588931576202e-05
count_valuable,8.6266033837115351e-05
count_hammer,8.0782901989181466e-05
count_wmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmdawmda,4.4445869391673831e-05
count_telnet,6.1723487787749393e-07
